date,component,value
2020-08-02,actual,61607.14
2020-08-02,trend,63523.48
2020-08-02,seasonal,27.86
2020-08-02,residual,-1944.2
2020-08-03,actual,61607.14
2020-08-03,trend,62647.37
2020-08-03,seasonal,18.05
2020-08-03,residual,-1058.29
2020-08-04,actual,61607.14
2020-08-04,trend,61771.26
2020-08-04,seasonal,8.32
2020-08-04,residual,-172.44
2020-08-05,actual,61607.14
2020-08-05,trend,60895.14
2020-08-05,seasonal,-1.32
2020-08-05,residual,713.32
2020-08-06,actual,61607.14
2020-08-06,trend,60019.03
2020-08-06,seasonal,-10.84
2020-08-06,residual,1598.95
2020-08-07,actual,61607.14
2020-08-07,trend,59142.91
2020-08-07,seasonal,-20.08
2020-08-07,residual,2484.31
2020-08-08,actual,61607.14
2020-08-08,trend,58266.8
2020-08-08,seasonal,-28.31
2020-08-08,residual,3368.64
2020-08-09,actual,53701.29
2020-08-09,trend,57264.52
2020-08-09,seasonal,27.86
2020-08-09,residual,-3591.09
2020-08-10,actual,53701.29
2020-08-10,trend,56611.31
2020-08-10,seasonal,18.05
2020-08-10,residual,-2928.07
2020-08-11,actual,53701.29
2020-08-11,trend,55958.09
2020-08-11,seasonal,8.32
2020-08-11,residual,-2265.12
2020-08-12,actual,53701.29
2020-08-12,trend,55304.87
2020-08-12,seasonal,-1.32
2020-08-12,residual,-1602.26
2020-08-13,actual,53701.29
2020-08-13,trend,54651.65
2020-08-13,seasonal,-10.84
2020-08-13,residual,-939.52
2020-08-14,actual,53701.29
2020-08-14,trend,53998.43
2020-08-14,seasonal,-20.08
2020-08-14,residual,-277.06
2020-08-15,actual,53701.29
2020-08-15,trend,53345.21
2020-08-15,seasonal,-28.31
2020-08-15,residual,384.38
2020-08-16,actual,51808.86
2020-08-16,trend,52245.57
2020-08-16,seasonal,27.86
2020-08-16,residual,-464.57
2020-08-17,actual,51808.86
2020-08-17,trend,51672.99
2020-08-17,seasonal,18.05
2020-08-17,residual,117.81
2020-08-18,actual,51808.86
2020-08-18,trend,51100.41
2020-08-18,seasonal,8.32
2020-08-18,residual,700.13
2020-08-19,actual,51808.86
2020-08-19,trend,50527.83
2020-08-19,seasonal,-1.32
2020-08-19,residual,1282.35
2020-08-20,actual,51808.86
2020-08-20,trend,49955.25
2020-08-20,seasonal,-10.84
2020-08-20,residual,1864.45
2020-08-21,actual,51808.86
2020-08-21,trend,49382.67
2020-08-21,seasonal,-20.08
2020-08-21,residual,2446.27
2020-08-22,actual,51808.86
2020-08-22,trend,48810.09
2020-08-22,seasonal,-28.31
2020-08-22,residual,3027.08
2020-08-23,actual,45112.57
2020-08-23,trend,48039.01
2020-08-23,seasonal,27.86
2020-08-23,residual,-2954.3
2020-08-24,actual,45112.57
2020-08-24,trend,47394.1
2020-08-24,seasonal,18.05
2020-08-24,residual,-2299.58
2020-08-25,actual,45112.57
2020-08-25,trend,46749.18
2020-08-25,seasonal,8.32
2020-08-25,residual,-1644.93
2020-08-26,actual,45112.57
2020-08-26,trend,46104.27
